school,amount,sport,deal_description,is_social_media,date
ucdavis,3000.0,Football,Social media posts in exchange for commission on sales.,1,
ucdavis,1500.0,Football,Social media posts in exchange for money.,1,
ucdavis,100.0,Men's Basketball,Social media posts in exchange for money.,1,
ucdavis,5.0,Men's Basketball,Social media posts in exchange for money.,1,
ucdavis,75.0,Football,Social media posts in exchange for money.,1,
ucdavis,50.0,Equestrian,Social media posts in exchange for money.,1,
ucdavis,150.0,Women's Basketball,Social media posts in exchange for money.,1,
ucdavis,100.0,Equestrian,Social media posts in exchange for money.,1,
ucdavis,62.0,Football,% of apparel sales,0,
ucdavis,126.0,Women's Soccer,% of apparel sales,0,
ucdavis,62.0,Football,% of apparel sales,0,
ucdavis,58.2,Volleyball,% of apparel sales,0,
ucdavis,170.0,Football,% of apparel sales,0,
ucdavis,73.0,Football,% of apparel sales,0,
ucdavis,66.0,Lacrosse,% of apparel sales,0,
ucdavis,62.0,Football,% of apparel sales,0,
ucdavis,58.0,Volleyball,% of apparel sales,0,
ucdavis,60.0,Football,% of apparel sales,0,
ucdavis,51.0,Football,% of apparel sales,0,
ucdavis,57.0,Football,% of apparel sales,0,
ucdavis,52.0,Women's Soccer,% of apparel sales,0,
ucdavis,80.0,Football,% of apparel sales,0,
ucdavis,90.0,Volleyball,% of apparel sales,0,
ucdavis,116.0,Football,% of apparel sales,0,
ucdavis,103.0,Football,% of apparel sales,0,
ucdavis,30.0,Lacrosse,% of apparel sales,0,
ucdavis,10.0,Men's Water Polo,% of apparel sales,0,
ucdavis,42.0,Equestrian,% of apparel sales,0,
ucdavis,18.0,Softball,% of apparel sales,0,
ucdavis,34.0,Football,% of apparel sales,0,
ucdavis,28.0,Beach Volleyball,% of apparel sales,0,
ucdavis,46.0,Baseball,% of apparel sales,0,
ucdavis,26.0,Women's Basketball,% of apparel sales,0,
ucdavis,30.0,Baseball,% of apparel sales,0,
ucdavis,36.0,Beach Volleyball,% of apparel sales,0,
ucdavis,36.0,Gymnastics,% of apparel sales,0,
ucdavis,34.0,Softball,% of apparel sales,0,
ucdavis,36.0,Baseball,% of apparel sales,0,
ucdavis,10.0,Men's Track,% of apparel sales,0,
ucdavis,32.0,Softball,% of apparel sales,0,
ucdavis,31.0,Baseball,% of apparel sales,0,
ucdavis,18.0,Women's Water Polo,% of apparel sales,0,
ucdavis,28.0,Men's Water Polo,% of apparel sales,0,
ucdavis,20.0,Women's Water Polo,% of apparel sales,0,
ucdavis,10.0,Gymnastics,% of apparel sales,0,
ucdavis,20.0,Beach Volleyball,% of apparel sales,0,
ucdavis,16.0,Baseball,% of apparel sales,0,
ucdavis,12.0,Volleyball,% of apparel sales,0,
ucdavis,24.0,Baseball,% of apparel sales,0,
ucdavis,32.0,Baseball,% of apparel sales,0,
ucdavis,36.0,Lacrosse,% of apparel sales,0,
ucdavis,20.0,Baseball,% of apparel sales,0,
ucdavis,35.0,Softball,% of apparel sales,0,
ucdavis,8.0,Softball,% of apparel sales,0,
ucdavis,10.0,Baseball,% of apparel sales,0,
ucdavis,22.0,Softball,% of apparel sales,0,
ucdavis,22.0,Equestrian,% of apparel sales,0,
ucdavis,30.0,Lacrosse,% of apparel sales,0,
ucdavis,15.0,Baseball,% of apparel sales,0,
ucdavis,12.0,Gymnastics,% of apparel sales,0,
ucdavis,40.0,Baseball,% of apparel sales,0,
ucdavis,12.0,Men's Basketball,% of apparel sales,0,
ucdavis,22.0,Beach Volleyball,% of apparel sales,0,
ucdavis,38.0,Softball,% of apparel sales,0,
ucdavis,36.0,Women's Water Polo,% of apparel sales,0,
ucdavis,28.0,Softball,% of apparel sales,0,
ucdavis,48.0,Softball,% of apparel sales,0,
ucdavis,8.0,Softball,% of apparel sales,0,
ucdavis,12.0,Baseball,% of apparel sales,0,
ucdavis,27.0,Baseball,% of apparel sales,0,
ucdavis,12.0,Men's Soccer,% of apparel sales,0,
ucdavis,42.0,Women's Basketball,% of apparel sales,0,
ucdavis,22.0,Women's Basketball,% of apparel sales,0,
ucdavis,24.0,Beach Volleyball,% of apparel sales,0,
ucdavis,18.0,Softball,% of apparel sales,0,
ucdavis,8.0,Men's Water Polo,% of apparel sales,0,
ucdavis,49.0,Softball,% of apparel sales,0,
ucdavis,18.0,Men's Soccer,% of apparel sales,0,
ucdavis,24.0,Men's Basketball,% of apparel sales,0,
ucdavis,8.0,Softball,% of apparel sales,0,
ucdavis,23.0,Women's Basketball,% of apparel sales,0,
ucdavis,16.0,Volleyball,% of apparel sales,0,
ucdavis,10.0,Men's Soccer,% of apparel sales,0,
ucdavis,25.0,Baseball,% of apparel sales,0,
ucdavis,15.0,Football,% of apparel sales,0,
ucdavis,15.0,Baseball,% of apparel sales,0,
ucdavis,30.0,Equestrian,% of apparel sales,0,
ucdavis,10.0,Men's Soccer,% of apparel sales,0,
ucdavis,12.0,Men's Soccer,% of apparel sales,0,
ucdavis,32.0,Men's Soccer,% of apparel sales,0,
ucdavis,12.0,Women's Soccer,% of apparel sales,0,
ucdavis,31.0,Women's Soccer,% of apparel sales,0,
ucdavis,32.0,Women's Soccer,% of apparel sales,0,
ucdavis,8.0,Women's Soccer,% of apparel sales,0,
ucdavis,44.0,Men's Soccer,% of apparel sales,0,
ucdavis,24.0,Football,% of apparel sales,0,
ucdavis,12.0,Football,% of apparel sales,0,
ucdavis,8.0,Football,% of apparel sales,0,
ucdavis,42.0,Football,% of apparel sales,0,
ucdavis,15.0,Football,% of apparel sales,0,
ucdavis,77.0,Men's Basketball,% of apparel sales,0,
ucdavis,88.0,Football,% of apparel sales,0,
ucdavis,56.0,Women's Basketball,% of apparel sales,0,
ucdavis,54.0,Softball,% of apparel sales,0,
ucdavis,75.0,Baseball,% of apparel sales,0,
ucdavis,50.0,Gymnastics,% of apparel sales,0,
ucdavis,116.0,Baseball,% of apparel sales,0,
ucdavis,64.0,Softball,% of apparel sales,0,
ucdavis,54.0,Baseball,% of apparel sales,0,
ucdavis,160.0,Men's Basketball,% of apparel sales,0,
ucdavis,300.0,Football,% of apparel sales,0,
ucdavis,45.0,Volleyball,% of apparel sales,0,
ucdavis,64.0,Softball,% of apparel sales,0,
ucdavis,54.0,Baseball,% of apparel sales,0,
